Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Discount_offered,Weight_in_gms,Warehouse_block_B,Warehouse_block_C,Warehouse_block_D,Warehouse_block_F,Mode_of_Shipment_Road,Mode_of_Shipment_Ship,Gender_M,Reached.on.Time_Y.N
4,1,261,2,2,9,4158,0,0,1,0,1,0,0,0
3,3,162,2,1,26,1659,0,0,0,1,0,1,0,1
3,2,221,2,2,9,4466,1,0,0,0,0,1,1,0
3,5,157,4,2,2,4640,0,0,1,0,0,1,0,0
2,5,272,2,1,24,3638,0,0,0,0,0,0,1,1
4,5,254,3,1,29,3885,1,0,0,0,1,0,1,1
2,5,246,5,1,46,2437,0,0,0,1,0,1,1,1
4,2,221,2,1,13,3097,0,0,1,0,0,1,0,1
2,2,134,3,1,38,1352,0,0,0,1,0,1,1,1
4,4,153,5,2,9,5818,0,0,0,1,0,1,1,0
5,3,227,5,2,2,1965,0,1,0,0,0,1,1,0
3,3,250,3,1,9,4993,1,0,0,0,0,1,1,0
5,3,209,4,2,7,2675,0,0,1,0,0,1,0,1
6,5,240,3,1,4,5219,0,0,0,1,0,1,1,1
4,3,263,6,2,8,1123,0,0,0,1,1,0,1,1
4,4,243,3,1,10,3327,0,0,0,0,0,1,1,1
4,1,189,3,2,5,4133,0,0,0,1,0,0,1,0
4,4,229,5,2,7,1716,0,0,0,0,0,1,0,1
3,4,250,3,1,3,2371,0,0,1,0,0,0,0,1
6,2,172,2,1,41,1006,0,0,0,1,0,1,1,1
2,5,255,4,1,36,2093,0,1,0,0,0,0,0,1
5,4,259,3,2,43,2685,0,0,0,1,0,1,0,1
3,3,256,3,2,8,4070,0,0,0,0,0,1,1,0
4,2,144,5,1,3,5807,0,0,0,0,0,1,0,1
5,5,209,2,1,3,4348,0,0,1,0,0,1,0,0
3,4,165,2,2,8,4280,0,0,0,1,0,1,0,1
5,4,264,10,2,34,2960,1,0,0,0,0,1,0,1
4,2,182,3,1,58,3943,0,0,1,0,0,1,1,1
5,4,142,2,3,7,5341,0,0,0,1,0,0,1,0
3,5,204,2,1,1,4133,0,0,0,0,1,0,1,0
5,1,255,3,2,6,5715,0,0,0,1,0,1,0,0
5,4,280,6,2,51,3582,0,0,0,1,0,0,0,1
4,1,189,2,2,63,3474,0,0,1,0,0,1,0,1
5,3,225,7,2,45,3162,1,0,0,0,0,0,0,1
6,3,273,4,2,32,2532,0,0,0,1,0,1,0,1
7,5,292,5,1,5,1932,0,0,1,0,0,1,1,1
3,2,204,4,2,7,4768,0,1,0,0,0,1,1,0
6,5,118,2,1,6,1726,0,0,1,0,0,0,0,1
4,3,159,5,1,4,4666,0,1,0,0,0,1,1,1
5,5,243,2,1,9,4669,1,0,0,0,0,1,1,1
3,1,226,3,3,2,4831,1,0,0,0,0,1,1,1
3,2,250,5,1,36,2717,0,0,1,0,0,1,0,1
3,3,178,3,3,43,1517,1,0,0,0,0,1,1,1
4,3,167,3,2,1,4621,0,0,0,1,0,0,0,1
3,3,218,2,2,9,2069,0,0,1,0,1,0,1,1
3,1,138,5,2,8,1349,0,0,1,0,0,1,0,1
5,3,189,5,1,7,4869,0,0,0,1,0,1,1,0
3,4,135,3,1,11,1740,0,0,0,0,0,0,1,1
3,2,177,2,3,9,4648,0,0,0,1,0,1,1,0
4,4,247,2,2,9,5095,0,0,0,0,0,1,1,0
3,2,245,3,2,7,4121,0,0,1,0,0,1,0,0
5,5,149,7,2,50,1346,0,1,0,0,0,1,0,1
5,4,228,3,2,42,3145,1,0,0,0,0,1,1,1
4,3,180,3,1,7,5718,0,1,0,0,1,0,1,0
3,1,204,3,2,4,4619,0,0,0,1,0,1,1,1
5,3,190,3,3,45,2628,1,0,0,0,0,1,1,1
6,1,277,5,1,2,1190,0,0,0,1,1,0,0,1
3,4,269,3,2,9,5133,0,0,0,1,0,1,1,1
4,4,252,3,2,7,2477,0,0,0,0,0,0,0,1
4,1,234,3,1,2,4282,1,0,0,0,0,1,1,0
5,1,190,2,1,9,5226,0,0,0,1,0,1,1,0
5,2,272,5,1,8,1317,0,0,0,0,1,0,1,0
5,5,226,3,1,50,2348,0,0,0,1,0,1,1,1
5,3,151,2,1,8,4749,0,0,1,0,0,0,1,0
4,5,192,3,2,41,3873,0,1,0,0,0,1,0,1
3,2,177,3,1,5,5941,0,1,0,0,0,1,0,0
3,3,178,3,3,12,1900,0,0,1,0,0,0,1,1
7,4,305,4,2,6,1873,0,1,0,0,0,1,0,0
4,1,161,6,1,2,5734,0,1,0,0,0,1,0,0
5,1,255,5,2,9,1156,0,1,0,0,0,1,1,1
5,2,218,3,1,4,5363,1,0,0,0,0,1,1,1
5,1,205,2,2,27,3569,1,0,0,0,0,1,1,1
5,1,236,5,2,3,1699,1,0,0,0,0,1,0,0
4,3,218,2,2,6,4414,1,0,0,0,0,1,1,1
5,5,184,3,1,2,5800,1,0,0,0,1,0,0,0
3,3,162,3,2,7,1901,0,0,0,1,0,1,1,1
5,3,264,2,1,61,2025,0,0,0,1,0,1,0,1
4,5,156,3,1,33,1836,0,0,0,1,0,1,0,1
5,5,264,3,2,23,2837,0,1,0,0,0,1,0,1
6,3,278,4,3,3,1033,0,1,0,0,0,1,0,0
6,5,247,4,2,7,1461,0,0,0,1,1,0,1,1
3,4,173,3,1,8,5979,0,0,0,0,0,1,0,0
4,1,300,5,2,6,1027,1,0,0,0,0,1,1,0
3,1,207,3,2,56,3482,0,0,0,1,0,1,0,1
3,4,145,4,3,4,5801,0,0,0,1,0,1,1,0
4,2,192,4,2,2,5503,0,0,0,1,0,1,0,0
5,4,223,5,1,2,1713,1,0,0,0,0,1,0,0
3,2,227,3,3,5,4167,0,1,0,0,0,0,1,1
4,2,192,3,2,3,4922,1,0,0,0,0,0,0,0
3,1,238,2,2,50,3438,1,0,0,0,0,1,0,1
5,1,241,3,3,8,5306,0,0,1,0,0,1,1,1
6,5,255,4,1,9,1197,0,0,0,1,0,1,0,0
4,4,162,3,2,41,1104,0,0,0,1,0,1,1,1
4,3,192,4,1,2,1830,0,0,0,0,0,1,0,0
3,3,233,3,2,35,2204,0,0,0,1,0,1,1,1
6,1,272,4,1,2,1018,0,0,0,1,0,0,0,0
4,1,226,5,1,9,1530,0,0,0,1,1,0,1,0
4,1,145,3,1,8,5127,0,0,1,0,0,0,1,0
6,4,304,4,1,2,1749,0,0,0,1,0,1,0,0
4,4,178,6,1,9,5279,0,0,1,0,0,0,0,1
3,5,206,2,1,4,4080,0,0,1,0,0,1,0,0
2,2,206,5,1,7,5203,0,0,0,1,0,1,0,0
3,1,186,2,1,1,5054,0,1,0,0,0,1,0,1
2,4,245,2,2,10,5389,0,0,0,0,0,1,0,0
4,2,199,3,1,7,5342,0,0,0,0,0,1,1,0
3,5,139,2,2,7,5536,1,0,0,0,1,0,1,0
5,5,184,2,2,9,4649,0,0,1,0,1,0,1,1
4,4,175,3,1,6,4600,0,0,0,1,0,0,0,1
3,4,189,3,2,37,3492,0,0,1,0,0,1,0,1
4,5,190,2,1,36,3548,0,0,0,1,0,1,1,1
5,4,206,4,1,3,3755,0,0,0,0,0,1,0,1
6,5,298,4,1,3,1009,0,0,1,0,0,1,1,1
5,5,191,2,3,34,2708,0,0,1,0,0,1,1,1
5,4,195,2,1,4,3108,0,0,0,1,1,0,1,1
6,3,247,4,2,7,1626,0,0,0,1,0,1,1,1
5,1,271,5,1,4,1353,0,0,0,0,0,0,1,0
3,5,165,3,2,33,1500,0,0,0,1,0,1,1,1
3,1,209,2,1,2,4855,0,1,0,0,0,1,0,0
3,4,179,2,2,5,1340,1,0,0,0,0,0,1,0
5,1,236,3,2,10,1347,0,1,0,0,0,1,0,1
3,4,234,2,2,52,3543,1,0,0,0,0,1,1,1
5,4,263,2,2,5,4595,0,0,0,1,1,0,0,0
